02/10/2011,175022,"Sliced Cucumbers",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,175050,"Spinach Salad Base",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,143001,Tofu,LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/10/2011,175021,"Tomato Wedges",LUN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/10/2011,221019,"Kosher Dill Pickle Chips",LUN,"ANNENBERG ","Sandwich Bar",3,EACH,VGN
02/10/2011,175035,"Leaf Lettuce",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/10/2011,176007,"Sliced Red Onions",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,"(OG) VGN"
02/10/2011,71521,"Sliced Salami",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/10/2011,175036,"Sliced Tomatoes",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/10/2011,113520,"Smoked Turkey Breast",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/10/2011,48503,"Tuna Salad",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/10/2011,503074,"Blackened Tilapia",LUN,"ANNENBERG ",Entrees,1,EACH,
02/10/2011,502092,"Grilled Salmon w/ Lemon Butter",LUN,"ANNENBERG ",Entrees,4,OZ,
02/10/2011,165002,"Egg Twist Noodles",LUN,"ANNENBERG ","Starch & Potatoes",4,OZ,VGT
02/10/2011,501024,"Sauteed Swiss Chard w/ Garlic",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/10/2011,175088,"Steamed Broccoli",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/10/2011,182001,"Chocolate Chip Cookies",LUN,"ANNENBERG ",Desserts,1,EACH,VGT
02/10/2011,282001,"Rice Krispie Treats",LUN,"ANNENBERG ",Desserts,1,PIECE,
02/10/2011,501033,"Boca Burger for Grill",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,117003,Chickwich,LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,75012,"Crispy Fish Sandwich",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,61041,"Egg Beaters",LUN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/10/2011,61042,"Egg Whites",LUN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/10/2011,142055,"Garden Burger",LUN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/10/2011,145070,"Grilled Bean Burrito",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,138003,"Grilled Cheese Sandwich",LUN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/10/2011,138014,"Grilled Chicken",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,77022,"Grilled Frankfurter",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,138015,"Grilled Ham and Cheese",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,77003,"Grilled Hamburger",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,133026,"Turkey Burger",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,505056,"Vegan Chicken Grill Patty",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,143059,"Vegan Dog",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
