03/28/2011,794029,"Boston Chicken",DIN,ANNENBERG,Entrees,25,PIECE,VGT
03/28/2011,794028,"Tuscan Chicken",DIN,"ANNENBERG ",Entrees,5,OZ,
03/28/2011,599093,"Fresh Brussels Sprouts",DIN,"ANNENBERG ",Vegetables,4,OZ,VGT
