02/08/2011,157033,"Sriracha Chili Sauce",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/08/2011,42079,"Beet and Onion Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGN
02/08/2011,42090,"Greek Pasta Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/08/2011,42075,"Iberian Chick Pea Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGN
02/08/2011,157550,"Alfredo Sauce",LUN,"ANNENBERG ","Pasta a la Carte",4,OZL,VGT
02/08/2011,164035,Fettuccine,LUN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGN
02/08/2011,501070,"Multigrain Spaghetti",LUN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGT
02/08/2011,153005,"Red Spaghetti Sauce",LUN,"ANNENBERG ","Pasta a la Carte",4,OZL,VGN
02/08/2011,25503,"French Onion Soup with Croutons",DIN,"ANNENBERG ","Today's Soup",6,OZL,
02/08/2011,23549,"Tomato Basil Ravioli Soup",DIN,"ANNENBERG ","Today's Soup",6,OZL,VGT
02/08/2011,175076,"Broccoli Florets",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,46001,"Caesar Salad",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,173012,"Chick Peas",DIN,"ANNENBERG ","Salad Bar",1,OZ,VGN
02/08/2011,171060,"Corn Niblets",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,163024,Couscous,DIN,"ANNENBERG ","Salad Bar",3-Feb,CUP,VGT
02/08/2011,48006,"Flaked Tuna",DIN,"ANNENBERG ","Salad Bar",2,OZ,
02/08/2011,175054,"HUHDS Salad Mix",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,161056,"Hard Cooked Eggs",DIN,"ANNENBERG ","Salad Bar",1,EACH,VGT
02/08/2011,48016,Hummus,DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,176034,"Shredded Carrots",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,173007,"Sliced Beets",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,175022,"Sliced Cucumbers",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/08/2011,143001,Tofu,DIN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/08/2011,175021,"Tomato Wedges",DIN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
